Initial State   Number of Generations   Final State
0                       1                    0
1                       1                    0
2                       1                    0
3                       1                    0
4                       1                    0
5                       1                    0
6                       1                    0
7                       2                    0
8                       1                    0
9                       1                    0
10                       1                    0
11                       1                    27
12                       1                    0
13                       2                    0
14                       2                    0
15                       2                    27
16                       1                    0
17                       1                    0
18                       1                    0
19                       1                    27
20                       1                    0
21                       2                    0
22                       1                    54
23                       5                    0
24                       1                    0
25                       1                    27
26                       1                    27
27                       1                    27
28                       2                    0
29                       2                    27
30                       5                    0
31                       2                    0
32                       1                    0
33                       1                    0
34                       1                    0
35                       2                    0
36                       1                    0
37                       2                    0
38                       1                    54
39                       2                    54
40                       1                    0
41                       2                    0
42                       2                    0
43                       2                    27
44                       2                    0
45                       1                    0
46                       2                    54
47                       2                    0
48                       1                    0
49                       2                    0
50                       1                    54
51                       5                    0
52                       1                    54
53                       2                    54
54                       1                    54
55                       2                    0
56                       15                    146
57                       6                    0
58                       5                    0
59                       4                    0
60                       6                    0
61                       4                    0
62                       4                    0
63                       4                    0
64                       1                    0
65                       1                    0
66                       1                    0
67                       2                    0
68                       1                    0
69                       2                    0
70                       2                    0
71                       2                    0
72                       1                    0
73                       2                    0
74                       2                    0
75                       2                    27
76                       2                    0
77                       2                    0
78                       2                    0
79                       2                    27
80                       1                    0
81                       2                    0
82                       2                    0
83                       2                    27
84                       2                    0
85                       2                    27
86                       5                    0
87                       3                    54
88                       1                    216
89                       5                    0
90                       5                    0
91                       2                    0
92                       5                    0
93                       3                    216
94                       3                    170
95                       2                    170
96                       1                    0
97                       2                    0
98                       2                    0
99                       2                    0
100                       2                    0
101                       2                    0
102                       2                    54
103                       3                    54
104                       2                    0
105                       3                    0
106                       3                    0
107                       3                    27
108                       2                    0
109                       2                    0
110                       1                    174
111                       4                    0
112                       2                    0
113                       6                    0
114                       3                    234
115                       4                    54
116                       5                    0
117                       4                    0
118                       1                    174
119                       3                    0
120                       6                    0
121                       3                    0
122                       5                    0
123                       3                    0
124                       3                    0
125                       3                    0
126                       3                    0
127                       3                    0
128                       1                    0
129                       1                    0
130                       1                    0
131                       2                    0
132                       1                    0
133                       2                    0
134                       2                    0
135                       3                    0
136                       1                    0
137                       2                    0
138                       2                    0
139                       2                    27
140                       2                    0
141                       2                    0
142                       3                    0
143                       3                    27
144                       1                    0
145                       2                    0
146                       15                    56
147                       6                    0
148                       2                    0
149                       6                    0
150                       6                    0
151                       3                    0
152                       1                    216
153                       5                    0
154                       5                    0
